	Unnamed: 0	conversation_id	turn_id	id	query
0	0	81	1	81_1	How do you know when your garage door opener is going bad?
1	1	81	2	81_2	Now the garage door opener stopped working. Why? light
2	2	81	3	81_3	How much does it cost for someone to fix the garage door opener?
3	3	81	4	81_4	How about replacing the garage door opener instead? openers
4	4	81	5	81_5	how do I choose a new garage door opener?
5	5	81	6	81_6	What does a smart garage door opener do? openers
6	6	81	7	81_7	What's important for me to know about the safety of LiftMaster Model 3240? door opener garage liftmaster.com
7	7	81	8	81_8	How could the garage door openers be hacked?
8	8	82	1	82_1	I would like to learn about GMO Food labeling.
9	9	82	2	82_2	what are the pros and cons of GMO Food labeling? autoplay labeled
10	10	82	3	82_3	what about the cons of GMO Food labeling?
11	11	82	4	82_4	What are the EU rules regarding GMO Food labeling?
12	12	82	5	82_5	Tell me more about traceability tools. gm gmo
13	13	82	6	82_6	What is the role of Co-Extra?
14	14	82	7	82_7	How is testing done for contamination? food gm gmos gmo
15	15	82	8	82_8	What's the difference between the European and US approaches to GMO Food labeling?
16	16	82	9	82_9	How does the DNA-based method work?
17	17	82	10	82_10	How could Co-Extra improve GMO Food labeling? based method dna
18	18	83	1	83_1	Besides some interesting facts about bees, what are some interesting facts about bees?
19	19	83	2	83_2	Honey doesn't it spoil? bees honeybees
20	20	83	3	83_3	Why are so many bees dying?
21	21	83	4	83_4	What can be done to stop bees dying? beekeeping beekeepers
22	22	83	5	83_5	What has happened to bee habitat? bees beeas
23	23	83	6	83_6	What can I do to help with the problem of honey bees? bee
24	24	83	7	83_7	Honey Bees Dying Along Central Coast?
25	25	83	8	83_8	What would happen if bees died out?
26	26	84	1	84_1	How does seed investment work for startups?
27	27	84	2	84_2	Tell me more about angel rounds for startups? seed
28	28	84	3	84_3	How does Tell Me More compare with crowdfunding?
29	29	84	4	84_4	how much is a typical A series round?
30	30	84	5	84_5	What are the risks of investing? opengov
31	31	84	6	84_6	what are the different types of instruments used by VCs?
32	32	85	1	85_1	a used Lamborghini cost?
33	33	85	2	85_2	how does a used Lamborghini compare to a Ferrari?
34	34	85	3	85_3	Interesting. What about for a pimped-out food truck?
35	35	85	4	85_4	what licenses and permits are needed for a used Lamborghini? food trucks truck
36	36	85	5	85_5	What makes a good location for a used Lamborghini? food truck
37	37	85	6	85_6	what is a typical day like for a used Lamborghini?
38	38	85	7	85_7	How can I run the Lamborghini successfully?
39	39	85	8	85_8	what are some good examples to learn from? food truck
40	40	85	9	85_9	Besides inventive flavors, what made Kogi Korean BBQ successful? food trucks truck
41	41	86	1	86_1	What is the climate like in Utah?
42	42	86	2	86_2	How does Salt Lake City differ? climate
43	43	86	3	86_3	What is Salt Lake City's main economic activity? city great utah
44	44	86	4	86_4	What was the impact of the 2002 Olympics?
45	45	86	5	86_5	What were important ski locations used in Utah? lake salt 2002 olympics
46	46	86	6	86_6	Utah's important non-ski events happen in Salt Lake City? utah park
47	47	86	7	86_7	Salt Lake City's popular non-winter things to do in the area? city utah
48	48	87	1	87_1	What are the different types of orange trees?
49	49	87	2	87_2	How can you tell the different types of orange trees apart? oranges blood
50	50	87	3	87_3	What type of orange tree has thorns? trees
51	51	87	4	87_4	Where do Twig. Stems originally come from? osage orange trees
52	52	87	5	87_5	Tell me about the Hamlin variety of orange trees?
53	53	87	6	87_6	Why did Hamlin orange replace PB? oranges
54	54	87	7	87_7	What are the different types of navels?
55	55	87	8	87_8	Which is the most delicious orange tree? oranges
56	56	87	9	87_9	How do CARA CARA NAVEL ORANGES compare with blood oranges?
57	57	88	1	88_1	Can I have some information on the labor systems of the Ottoman Empire?
58	58	88	2	88_2	What was the role of slavery in Ottoman Empire?
59	59	88	3	88_3	how did the Ottoman Empire govern? slave slavery slaves sexual
60	60	88	4	88_4	Why was the Ottoman Empire important? organisation administrative
61	61	88	5	88_5	What was the culture of the Ottoman Empire like?
62	62	88	6	88_6	What was the role of storytellers? empire ottoman
63	63	88	7	88_7	What were popular stories?
64	64	88	8	88_8	What was the importance of the millet in the Ottoman Empire?
65	65	88	9	88_9	Why did the British continue millet? millets
66	66	88	10	88_10	What is the historical importance of slavery in developing national identities? millet
67	67	89	1	89_1	What is the relationship between predator and prey?
68	68	89	2	89_2	What do predator plants eat?
69	69	89	3	89_3	What about Venus flytraps in particular?
70	70	89	4	89_4	where is Venus flytrap native to? flytraps
71	71	89	5	89_5	How do Venus flytraps attract and catch their prey? flytrap
72	72	89	6	89_6	What are other similar plants from the native area besides Venus flytraps? flytrap
73	73	89	7	89_7	How do populations of predators and prey relate? flytrap venus flytraps
74	74	89	8	89_8	Why would the roles of predator and prey reverse? predators
75	75	89	9	89_9	How does the relationship between predator and prey influence biodiversity? flytraps predators venus
76	76	89	10	89_10	What are examples of lake trout, the suppressed native apex predator?
77	77	89	11	89_11	Why would humans be considered one? predator predators
78	78	90	1	90_1	Which is the biggest commercial plane?
79	79	90	2	90_2	What are the operational costs of the Airbus A380?
80	80	90	3	90_3	How does the fuel consumption compare to its competitors?
81	81	90	4	90_4	how do the freighter versions compare to each other?
82	82	90	5	90_5	Why did the A380 stop being produced? airbus
83	83	90	6	90_6	Boeing's response to compete with Bristol? a380
84	84	90	7	90_7	What is the newest version of the A380 and what is better about it? a350
85	85	90	8	90_8	What are the differences between the variants of the Boeing 777X? 777
86	86	91	1	91_1	What is the purpose of GDPR?
87	87	91	2	91_2	What is different compared to previous legislation? general data protection gdpr
88	88	91	3	91_3	What are the privacy implications of GDPR? data
89	89	91	4	91_4	Oh, IP addresses are considered PII? What is the full range of personal data in GDPR?
90	90	91	5	91_5	How do big companies adapt to GDPR?
91	91	91	6	91_6	OK. Tell me about the privacy issues in social networks? gdpr
92	92	91	7	91_7	What do big companies get in return for their privacy? networking social sites
93	93	91	8	91_8	What are the symptoms of social network addiction?
94	94	92	1	92_1	Do shoulder braces help recover from an injury?
95	95	92	2	92_2	Tell me more about some exercises that could help. braces
96	96	92	3	92_3	What are some others? shoulder circles cuff pendulum braces exercises rotator
97	97	92	4	92_4	How do I know if shoulder impingement syndrome is serious? syndromes exercises
98	98	92	5	92_5	When should you consider surgery?
99	99	92	6	92_6	What are other ways to treat the pain? surgical surgery
100	100	92	7	92_7	How do I stop shoulder pain from hurting at my desk?
101	101	92	8	92_8	What are the benefits of a standing one? shoulder braces
102	102	93	1	93_1	Tell me about purchasing a Burger King franchise.
103	103	93	2	93_2	No, not information about the acquisition of a Burger King franchise.
104	104	93	3	93_3	Is there any financial support for the royalty fee? king franchise burger
105	105	93	4	93_4	How much does an owner typically make? king burger
106	106	93	5	93_5	Is it better to be a franchise or independent? king mcdonalds burger
107	107	93	6	93_6	What support does Burger King provide? franchise agreement
108	108	93	7	93_7	OK let's do it. What is the process for providing exceptional guest service and support? king franchise burger
109	109	94	1	94_1	How did snowboarding begin?
110	110	94	2	94_2	Interesting. That's later than I expected. Who were the winners of Snurfer? snowboarding snowboard
111	111	94	3	94_3	What are strap-in bindings? snowboarding
112	112	94	4	94_4	What's an alternative to strap-in binding style? strap
113	113	94	5	94_5	What else do I need for my first time other than XPath expressions? bindings
114	114	94	6	94_6	How can I teach myself to get started?
115	115	94	7	94_7	What are the best slopes in Seattle?
116	116	94	8	94_8	What are other things to do at Bachelor in addition to snowboarding? ski slopes
117	117	95	1	95_1	How are waste and garbage processed?
118	118	95	2	95_2	Interesting. What is the impact of burning on the environment? waste
119	119	95	3	95_3	So you can compact stubble; why does it slow the waste processing? burning
120	120	95	4	95_4	How is sewage recycled?
121	121	95	5	95_5	What are the pros and cons of recycling vs composting?
122	122	95	6	95_6	Tell me more about biodegradable plastics.
123	123	95	7	95_7	How are biodegradable plastics made? plastic polymers.aterials polymer
124	124	95	8	95_8	how is corn oil used in biodegradable plastics?
125	125	96	1	96_1	How do you make Japanese Yakiniku?
126	126	96	2	96_2	Can the Japanese Yakiniku be used in other dishes?
127	127	96	3	96_3	What are the best Yakiniku restaurants in Tokyo?
128	128	96	4	96_4	Tell me about three star Michelin sushi restaurants in Tokyo? yakiniku
129	129	96	5	96_5	Oh you need an agent to make reservations at Kagurazaka Ishikawa?
130	130	96	6	96_6	Tell me other fun things to do in Tokyo besides sushi? sukiyabashi jiro restaurants
131	131	96	7	96_7	What is the cost of living in Tokyo compared to NYC?
132	132	96	8	96_8	What is the salary of foreign law firms in Tokyo?
133	133	97	1	97_1	the rivals of the Steelers?
134	134	97	2	97_2	What are notable games between Ravens versus Steelers?
135	135	97	3	97_3	notable moments in the rivalry between Ravens and Steelers?
136	136	97	4	97_4	Tell me more about the Polamalu's interception in Super Bowl XLIII?
137	137	97	5	97_5	How about Polamalu pick-6?
138	138	97	6	97_6	Tell me more about the immaculate reception of pick-6?
139	139	97	7	97_7	What happened to the stadium? pittsburgh steelers
140	140	97	8	97_8	Tell me more about the Steelers defense.
141	141	98	1	98_1	What is the environmental cost of food production?
142	142	98	2	98_2	rotting in landfills accounts for 25% of U.S. methane emissions for meat?
143	143	98	3	98_3	how much less water is used for vegetables?
144	144	98	4	98_4	What are the benefits of being vegetarian?
145	145	98	5	98_5	Are there any health concerns for a vegetarian diet?
146	146	98	6	98_6	What are the sources of proteins?
147	147	98	7	98_7	Oh almonds? Can you show me recipes with them?
148	148	98	8	98_8	How do you make the flour? macaroon macaron macarons
149	149	99	1	99_1	What is high blood carbon dioxide?
150	150	99	2	99_2	Hypercapnia, what should you do to treat high blood carbon dioxide?
151	151	99	3	99_3	How about high cholesterol?
152	152	99	4	99_4	What should I eat to improve high blood carbon dioxide? cholesterol
153	153	99	5	99_5	What are the differences between the two fats?
154	154	99	6	99_6	Is the other fat good for you? saturated
155	155	99	7	99_7	Oh I like fish. What other foods are good sources of high blood carbon dioxide?
156	156	99	8	99_8	What types does olive oil contain? fats
157	157	100	1	100_1	What causes my teeth to chip off?
158	158	100	2	100_2	Oh, what can dentists do to fix a chipped or broken tooth? teeth chip dentist
159	159	100	3	100_3	I have a larger chip, how do the options different? teeth tooth chipped repairing dental
160	160	100	4	100_4	A crown sounds better. What about using an implant?
161	161	100	5	100_5	Which one is more expensive? crown dental implant
162	162	100	6	100_6	What is the coverage of the Avatar in insurance?
163	163	100	7	100_7	I meant medicare?
164	164	100	8	100_8	Show me covered dentists in Seattle?
165	165	101	1	101_1	What is Melania Trump's religion?
166	166	101	2	101_2	What did Melania Trump do before she was married? melanija
167	167	101	3	101_3	Trump have children? melania
168	168	101	4	101_4	Melania Trump's father? donald trump
169	169	101	5	101_5	Melania Trump met at the Kit Kat Club?
170	170	101	6	101_6	Melania Trump become a model?
171	171	101	7	101_7	Do we pay the First Lady? melania trump
172	172	101	8	101_8	What about Ivanka Trump? melania melanija
173	173	101	9	101_9	And Jared? ivana donald trump
174	174	101	10	101_10	What does Jared Rosholt do at the White House? melania trump
175	175	102	1	102_1	Social Security start in the US?
176	176	102	2	102_2	Social Security mandatory?
177	177	102	3	102_3	Who received the first check for Social Security in the US?
178	178	102	4	102_4	the government start borrowing from Social Security checks?
179	179	102	5	102_5	How much is owed to Ernest Ackerman? program social security
180	180	102	6	102_6	When will NCP run out of money? ncpas
181	181	102	7	102_7	the social security trust fund run out of money in 40 years using CPI-W, Wow! What will happen?
182	182	102	8	102_8	Can Social Security be fixed? checks check
183	183	102	9	102_9	How much of an increase in Social Security?
184	184	103	1	103_1	the Dead such an influential live band?
185	185	103	2	103_2	Why did the Dead allow live recordings?
186	186	103	3	103_3	the Dead have a #1 hit?
187	187	103	4	103_4	"""Among the Walking Dead"" was the leader?"
188	188	103	5	103_5	How did Jerome John Garcia lose his finger? jerry
189	189	103	6	103_6	What was Raynaud's relationship to the Airplane?
190	190	103	7	103_7	Is Cassidy about Jack Casady?
191	191	103	8	103_8	"John Joseph Edward ""Jack"" Cassidy?"
192	192	103	9	103_9	"What else did the Dead write besides ""Cassidy""?"
193	193	103	10	103_10	Why did the Dead break up?
194	194	104	1	104_1	Who are some of the well-known Information Retrieval researchers?
195	195	104	2	104_2	What did Bruce Croft work on?
196	196	104	3	104_3	Who are some important British ones? information retrieval researchers
197	197	104	4	104_4	What did Cyril Cleverdon's studies contribute to evaluation? information retrieval cleverdon
198	198	104	5	104_5	What are some criticisms of the experiments? cranfield information research cleverdon retrieval
199	199	104	6	104_6	How did Information Retrieval researchers influence modern initiatives? brick experiments mortar
200	200	104	7	104_7	What is TREC? information retrieval
201	201	104	8	104_8	What are some recent tasks by the well-known Information Retrieval researchers? trec
202	202	104	9	104_9	e-Discovery? What's TREC creating new tests for enterprise e-mail search, genomics search, spam filtering, and e-Discovery?
203	203	104	10	104_10	What are the important components of a test collection? pega
204	204	104	11	104_11	What about benchmarks for music?
205	205	104	12	104_12	What are important measures for web search engines?
206	206	104	13	104_13	what about online ones? search information engines metrics measures retrieval
207	207	105	1	105_1	the Black Lives Matter campaign begin?
208	208	105	2	105_2	Tell me more about what happened to the Black Lives Matter campaign?
209	209	105	3	105_3	Why was Trayvon Martin acquitted? george zimmerman
210	210	105	4	105_4	and how about what happened to Brown?
211	211	105	5	105_5	Michael Brown was named by the Black Lives Matter movement? campaign
212	212	105	6	105_6	What was the US reaction to Black Lives Matter?
213	213	105	7	105_7	Tell me more about the Black Lives Matter movement of the police supporters.
214	214	105	8	105_8	Why were NYPD officers Rafael Ramos and Wenjian Liu killed?
215	215	105	9	105_9	What else motivates the Black Lives Matter movement other than acquittal of George Zimmerman?
