	Unnamed: 0	id	unresolved_query	resolved_query	query
0	0	81_1	How do you know when your garage door opener is going bad?	How do you know when your garage door opener is going bad?	 How do you know when your garage door opener is going bad?
1	1	81_2	Now it stopped working. Why?	Now my garage door opener stopped working. Why?	 Now your garage Door opener stopped working. Why? light
2	2	81_3	How much does it cost for someone to fix it?	How much does it cost for someone to repair a garage door opener?	 How much does it cost for someone to fix an opener that goes bad? door garage
3	3	81_4	How about replacing it instead?	How much does it cost to replace a garage door opener?	 How about replacing an opener instead of replacing it instead of fixing it? door garage openers
4	4	81_5	How do I choose a new one?	How do I choose a new garage door opener?	 How do I choose a new opener when the old one stops working? door garage
5	5	81_6	What does a smart one do?	What does a smart garage door opener do?	 What does a smart opener do? door garage openers
6	6	81_7	What's important for me to know about their safety?	What's important for me to know about the safety of smart garage door openers?	 What's important for me to know about smart garage door openers' safety? opener liftmaster 3240 model liftmaster.com
7	7	81_8	How could they be hacked?	How could smart garage door openers be hacked?	 How could smart garage Door openers be hacked?
8	8	82_1	I would like to learn about GMO Food labeling.	I would like to learn about GMO Food labeling.	 I would like to learn about GMO Food labeling.
9	9	82_2	What are the pros and cons?	What are the pros and cons of GMO food labeling?	 Where do the best places to get GMO food labeling in the U. autoplay labeled
10	10	82_3	And what about the cons?	What are the cons of GMO food labeling?	 And what about the cons of GMO foodlabeling? food labeling
11	11	82_4	What are the EU rules?	What are the GMO food labeling rules in the EU?	 What are the EU rules for GMO food labels? labeling
12	12	82_5	Tell me more about traceability tools.	Tell me about traceability tools for GMO foods in the EU.	 Tell me more about traceability tools. gm gmo
13	13	82_6	What is the role of Co-Extra?	What is the role of Co-Extra in GMO food traceability in the EU?	 What is the role of Co-Extra?
14	14	82_7	How is testing done for contamination?	How is food tested for GMO contamination?	 How is testing done for contamination in GMO food? gm gmos
15	15	82_8	What's the difference between the European and US approaches?	What's the difference between the European Union and United States approaches to testing for GMO food contamination?	 What's the difference between the European and US approaches to food labeling? gmo
16	16	82_9	How does the DNA-based method work?	How does the DNA-based method work for testing GMO contamination.	 How does the DNA-based method work?
17	17	82_10	How could Co-Extra improve it?	How could Co-Extra improve DNA-based testing for GMO contamination?	 How could Co- extra improve the DNA labeling method? based
18	18	83_1	What are some interesting facts about bees?	What are some interesting facts about bees?	 What are some interesting facts about bee sw ?
19	19	83_2	Why doesn't it spoil?	Why doesn't honey spoil?	 Why doesn't bee sw spoil? bees honeybees honey
20	20	83_3	Why are so many dying?	Why are so many bees dying?	 Why are so many bee sw sw members dying? bees
21	21	83_4	What can be done to stop it?	What can be done to stop bees from dying?	 What can be done to stop bee swsp spoil being a problem? beekeeping bees dying beekeepers
22	22	83_5	What has happened to their habitat?	What has happened to bee habitat?	 What has happened to beeswsp spoil's habitat? bees beeas bee
23	23	83_6	What can I do to help with the problem?	What can I do to help provide a habitat for bees?	 What can I do to help with the problem of beeswsp spoil? bees honey bee
24	24	83_7	What is the cause of CCD?	What is the cause of colony collapse disorder?	 What is the cause of CCD?
25	25	83_8	What would happen if they died out?	What would happen if the bees died out?	 What would happen if bees swspsp spoil died out?
26	26	84_1	How does seed investment work for startups?	How does seed investment work for startups?	 How does seed investment work for startups?
27	27	84_2	Tell me more about angel rounds.	Tell me more about angel investment rounds.	 Tell me more about angel rounds. seed
28	28	84_3	How does it compare with crowdfunding?	How does an angel investment round compare with crowdfunding?	 How does seed investment work for startups?
29	29	84_4	How much is a typical A series round?	How much is a typical A series investment round?	 How much is a typical A series round in a start-up startup?
30	30	84_5	What are the risks of investing?	What are the risks of investing in startups?	 What are the risks of investing in start-up start-ups? opengov
31	31	84_6	What are the different types of instruments used by VCs?	What are the different types of instruments used by Venture Capitalists?	 What were the different types of instruments used by VCs?
32	32	85_1	How much does a used Lamborghini cost?	How much does a Lamborghini cost?	 How much does a used Lamborghini cost?
33	33	85_2	How does it compare to a Ferrari?	How does a Lamborghini compare to a Ferrari?	 How does a Lamborghinis compare to a Ferrari? lamborghini
34	34	85_3	Interesting. What about for a pimped-out food truck?	Interesting. How much does a pimped-out food truck cost?	 Interesting. What about for a pimped-out food truck?
35	35	85_4	What licenses and permits are needed?	What licenses and permits are needed for a food truck?	 What licenses and permits are needed to run a food truck in the U. trucks
36	36	85_5	What makes a good location?	What makes a good food truck location?	 What makes a good location for a food Truck?
37	37	85_6	What is a typical day like?	What is a typical day like running a food truck?	 What is a typical day for a Food Truck?
38	38	85_7	How can I run it successfully?	How can I run a successful food truck?	 How can I run aFood Truck successfully? lamborghini
39	39	85_8	What are some good examples to learn from?	What are some good examples of successful food trucks to learn from?	 What are some good examples of food trucks to learn from? truck
40	40	85_9	Besides inventive flavors, what made it successful?	Besides inventive flavors, what made Kogi successful?	 Besides inventive flavors, what made the first food truck successful? kogi trucks
41	41	86_1	What is the climate like in Utah?	What is the climate like in Utah?	 What is the climate like in Utah?
42	42	86_2	How does Salt Lake City differ?	How does the climate of Salt Lake City differ from Utah overall?	 How does Salt Lake City differ from Salt Lake city? climate
43	43	86_3	What is its main economic activity?	What is the main economic activity of Salt Lake City?	 What is the main economic activity of Salt LakeCity, the main American city in Salt Lake, the U. great utah
44	44	86_4	What was the impact of the 2002 games?	What was the impact of the 2002 olympic winter games on the economy of Salt Lake City?	 What was the impact of the 2002 games on Salt Lake?
45	45	86_5	What were important ski locations used?	What were important ski locations used in the 2002 olympic winter games?	 What were important ski locations used in the 2002 Salt Lake games? utah olympics
46	46	86_6	What are the important non-ski events that happen in the city?	What are the important non-ski events that happen in Salt Lake City?	 What are the important non-ski events that happen in the city? utah lake salt park
47	47	86_7	What about some popular non-winter things to do in the area?	What are some popular non-winter things to do in the Salt Lake City area?	 What about some popular non-winter things to do in the area? city utah lake salt
48	48	87_1	What are the different types of orange trees?	What are the different types of orange trees?	 What are the different types of orange trees?
49	49	87_2	How can you tell them apart?	How can you tell different types of orange trees apart?	 How can you tell the orange trees apart? oranges blood
50	50	87_3	What type has thorns?	What type of orange tree has thorns?	 What type of orange tree has thorns? trees
51	51	87_4	Where do they originally come from?	Where do orange trees originally come from?	 Where do orange trees originally come from? osage
52	52	87_5	Tell me about the Hamlin variety.	Tell me about the Hamlin orange variety.	 Tell me about the Hamlin variety of the orange tree in the U.
53	53	87_6	Why did it replace PB?	Why did the Hamlin orange replace the Parson Brown variety?	 Why did Hamlin replace PB? oranges orange
54	54	87_7	What are the different types of navels?	What are the different types of navel oranges?	 What are the Different types of navels?
55	55	87_8	Which is the most delicious?	Which type of navel orange is the most delicious?	 Which is the most delicious? oranges orange
56	56	87_9	How do they compare with blood oranges?	How do cara cara oranges compare with blood oranges?	 How do blood oranges compare with blood oranges?
57	57	88_1	Can I have some information on the labor systems of the Ottoman Empire?	Can I have some information on the labor systems of the Ottoman Empire?	 Can I have some information on the labor systems of the Ottoman Empire?
58	58	88_2	What was the role of slavery?	What was the role of slavery in the labor system of the Ottoman Empire?	 What was the role of slavery in the Ottomans' labor system? ottoman
59	59	88_3	How did it govern?	How did the Ottoman Empire govern?	 How did the Ottoman labor system govern? slave slavery slaves sexual
60	60	88_4	Why was it important?	Why was the Ottoman Empire important?	 Why was the Ottoman Labor system important? organisation empire administrative
61	61	88_5	What was the culture like?	What was the culture like in the Ottoman Empire?	 What was Ottoman labor culture like?
62	62	88_6	What was the role of storytellers?	What was the role of storytellers in the culture of the Ottoman Empire?	 What wasThe role of storytellers in the OttomanLabor culture? empire ottoman
63	63	88_7	What were popular stories?	What were popular stories told by meddahs in the Ottoman Empire?	 What were popular stories among the Ottoman laborers?
64	64	88_8	What was the importance of the millet?	What was the importance of the confessional millet system to the Ottoman Empire?	 What is the importance of the millet?
65	65	88_9	Why did the British continue it?	Why did the British continue the confessional millet system from the Ottoman Empire?	 Why did the British continue to use slavery as a labor tool? millet millets
66	66	88_10	What is its historical importance in developing national identities?	What is the historical importance of the confessional millet system in the development of national identities?	 What is historical importance of millet in developing national identities? slavery
67	67	89_1	What is the relationship between predator and prey?	What is the relationship between predator and prey?	 What is the relationship between predator and prey?
68	68	89_2	What do predator plants eat?	What do predator plants eat?	 What do predator plants eat?
69	69	89_3	What about Venus flytraps in particular?	What do Venus flytraps eat?	 What do Venus flytraps in particular in the world, besides Venus flyTraps in the U.
70	70	89_4	Where is it native to?	Where is the Venus flytrap native to?	 Where is Venus fly Traps native to? flytrap flytraps
71	71	89_5	How do they attract and catch their prey?	How do Venus flytraps attract and catch their prey?	 How do VenusFlytraps attract and catch their prey? flytrap venus flytraps
72	72	89_6	What are other similar plants from its native area?	What other carnivorous plants are native to North and South Carolina?	 What are other similar plants from Venus fly Traps from its native area? flytrap flytraps
73	73	89_7	How do populations of predators and prey relate?	How do populations of predators and prey relate?	 How do populations of predators and prey relate? flytrap venus flytraps
74	74	89_8	Why would the roles reverse?	Why would the roles of predator and prey reverse?	 Why would the roles reverse? predator predators prey
75	75	89_9	How does the relationship influence biodiversity?	How do predators and prey influence biodiversity?	 How does the relationship influence biodiversity? predator prey flytraps predators venus
76	76	89_10	What are examples of these predators?	What are examples of apex predators?	 What are examples of examples of predators? apex
77	77	89_11	Why would humans be considered one?	Why would humans be considered apex predators?	 Why would humans be considered predators? predator
78	78	90_1	Which is the biggest commercial plane?	Which is the biggest commercial plane?	 Which is the biggest commercial plane?
79	79	90_2	What are its operational costs?	What are the operational costs of the Airbus A380?	 What are the operational costs of a commercial plane. airbus a380
80	80	90_3	How does its fuel consumption compare to its competitors?	How does the Airbus A380 fuel consumption compare to its competitors?	 How does the fuel consumption of the commercial plane compare to its competitors?
81	81	90_4	How do the freighter versions compare to each other?	How do the freighter versions of the Airbus A380 and Boeing 747 compare to each other?	 How do the freighter versions of commercial planes compare to each other?
82	82	90_5	Why did the A380 stop being produced?	Why did the Airbus A380 stop being produced?	 Why did the A380 stop being produced? airbus
83	83	90_6	What was Boeing's response to compete with it?	What was Boeing's response to compete with the Airbus A380?	 What was Boeing's response to compete with A380?
84	84	90_7	What is the newest version and what is better about it?	What is the newest version of the Boeing 777 and what is better about it?	 What is the newest version of the Boeing A380 and what is better about it? a350
85	85	90_8	What are the differences between the variants?	What are the differences between the Boeing 777X-8 and 777X-9?	 What areThe differences between the versions of the A 380 and the variants? boeing 777 777x
86	86	91_1	What is the purpose of GDPR?	What is the purpose of the General Data Protection Regulation (GDPR)?	 What is the purpose of GDPR?
87	87	91_2	What is different compared to previous legislation?	What is different between General Data Protection Regulation (GDPR) and European Union (EU) Data Protection Directive 95/46/EC?	 What is different about GDPR compared to previous legislation? general data protection
88	88	91_3	What are the privacy implications of those technologies?	What are the privacy implications of social networks and cloud computing?	 What are the privacy implications of technologies that are being developed under the GDPR law? data
89	89	91_4	Oh, IP addresses are considered PII? What is the full range of personal data?	Oh, Internet Protocol (IP) addresses are considered Personally Identifying Information (PII)? What is the full range of personal data defined in the General Data Protection Regulation (GDPR)?	 Oh, IP addresses are considered PII? gdpr
90	90	91_5	How do big companies adapt to GDPR?	How do big companies in the United States (US) adapt to the General Data Protection Regulation (GDPR)?	 How do big companies adapt toGDPR?
91	91	91_6	OK. Tell me about the privacy issues in social networks.	OK. Tell me about the privacy issues in social networks.	 Tell me about the privacy issues in social networks. gdpr
92	92	91_7	What do they get in return for their privacy?	What do users of social networks get in return for by giving up their privacy?	 What do social networks get in return for their privacy? networking sites
93	93	91_8	What are the symptoms of that addiction?	What are the symptoms of social network addiction?	 What is the symptoms of addiction to social networks? network
94	94	92_1	Do shoulder braces help recover from an injury?	Do shoulder braces help recover from an injury?	 Do shoulder braces help recover from an injury?
95	95	92_2	Tell me more about some exercises that could help.	Tell me more about some shoulder exercises that could help recovery from an injury.	 Tell me more about some exercises that could help. braces
96	96	92_3	What are some others?	What are other exercises besides Pendulum circles for shoulder injuries?	 What are some exercises other than shoulder braces that can help with shoulder braces? circles cuff pendulum rotator
97	97	92_4	How do I know if it's serious?	How do I know if my shoulder pain is serious?	 How do I know if an injury in the shoulder braces is serious? syndromes impingement syndrome exercises
98	98	92_5	When should you consider surgery?	When should you consider shoulder surgery?	 When should you consider surgery for shoulder braces injuries?
99	99	92_6	That seems extreme. What are other ways to treat the pain?	That seems extreme. What are other ways to treat shoulder pain?	 What are other ways to treat the pain of shoulder brace injuries? surgical surgery
100	100	92_7	How do I stop it from hurting at my desk?	How do I stop my shoulder from hurting at my desk?	 How doI stop my shoulder brace hurting at my desk?
101	101	92_8	What are the benefits of a standing one?	What are the benefits of a standing desk for shoulder pain?	 What are the benefits of a standing shoulder brace? braces
102	102	93_1	Tell me about purchasing a Burger King franchise.	Tell me about purchasing a Burger King franchise.	 Tell me about purchasing a Burger King franchise in the U.
103	103	93_2	No, not information about its acquisition. I want to know how to open a franchise.	No, not information about Burger King's acquisition. I want to know how to open a Burger King franchise.	 No, not information about the acquisition. I want to know how to open a franchise. king burger
104	104	93_3	Is there any financial support for the fee?	Is there any financial support for the initial franchise fee of a Burger King restaurant franchise?	 Is there any financial support for the fee to start a BurgerKing franchise? king burger
105	105	93_4	How much does an owner typically make?	How much does a Burger King franchise owner typically make?	 How much does an owner typically make as a franchise owner? king burger
106	106	93_5	Is it better to be a franchise or independent?	Is it better to be a Burger King franchisee or an independent restaurant owner?	 Is it better to be a franchise or independent? king mcdonalds burger
107	107	93_6	What support does it provide?	What support does the franchise provide?	 What support does the franchise system provide? king agreement burger
108	108	93_7	OK let's do it. What is the process?	OK let's do it. What is the process of buying a Burger King franchise?	 OK let's do Burger King franchises, What is the process? franchise
109	109	94_1	How did snowboarding begin?	How did snowboarding begin?	 How did snowboarding begin?
110	110	94_2	Interesting. That's later than I expected. Who were the winners?	Interesting. That's later than I expected. Who were the winners of snowboarding events in the 1998 Winter Olympics?	 Interesting. That's later than I expected. Who were the winners of the snowboarding contest? snowboard
111	111	94_3	What are strap-in bindings?	What are strap-in snowboard bindings?	 What are strap-in bindings? snowboarding
112	112	94_4	What's an alternative to this binding style?	What's an alternative to the strap-in binding style for snowboarding?	 What's an alternative to strap- in binding style?
113	113	94_5	What else do I need for my first time?	What else besides bindings do I need for my first time snowboarding?	 What else do I need for my first time snowboarding? xpath bindings
114	114	94_6	How can I teach myself to get started?	How can I teach myself to get started snowboarding?	 How can I teach myself to get started snowboard?
115	115	94_7	What are the best slopes in Seattle?	What are the best snowboarding slopes for beginners around Seattle?	 What are the best slopes in Seattle?
116	116	94_8	What are other things to do at Bachelor?	What are other things to do at Mount Bachelor Ski & Sports	 What are other things to do at Bachelor? ski snowboarding slopes
117	117	95_1	How are waste and garbage processed?	How are waste and garbage processed?	 How are waste and garbageprocesses in the U.
118	118	95_2	Interesting. What is the impact of burning on the environment?	Interesting. What is the impact of burning waste and garbage on the environment?	 What is the impact of burning on the environment on the American��  The 'g? waste
119	119	95_3	So you can compact them; why does it slow the waste processing?	Why does waste compaction slow the biodegradation of organic waste?	 So you can compact them; why does it slow the waste processing? burning stubble
120	120	95_4	How is sewage recycled?	How is sewage recycled?	 How is sewage recycled in the United States?
121	121	95_5	What are the pros and cons of recycling vs composting?	What are the pros and cons of recycling vs composting garbage?	 What are the pros and cons of recycling vs composting?
122	122	95_6	Tell me more about biodegradable plastics.	Tell me more about biodegradable plastics.	 Tell me more about biodegradable plastics.
123	123	95_7	How are they made?	How are biodegradable plastics made?	 How are biodegarable plastics made? plastic polymers.aterials polymer
124	124	95_8	How is corn oil used?	How is corn oil used to make biodegradable plastics?	 How is corn oil used as a plastic material?
125	125	96_1	How do you make Japanese Yakiniku?	How do you make Japanese Yakiniku ?	 How do you make Japanese Yakiniku?
126	126	96_2	Can the sauce be used in other dishes?	Can the sauce for Yakiniku be used in other dishes?	 Can the sauce be used in other dishes other than Japanese YAKINIKI? yakiniku
127	127	96_3	What are the best Yakiniku restaurants in Tokyo?	What are the best Yakiniku restaurants in Tokyo?	 What are the best Yakinik restaurants in Tokyo?
128	128	96_4	Tell me about three star Michelin sushi restaurants there.	Tell me about three star Michelin sushi restaurants in Tokyo.	 Tell me about three star Michelin sushi restaurants in Japan. yakiniku
129	129	96_5	Oh you need an agent to make reservations?	How do I make dinner reservations in Tokyo restaurants?	 Do you need an agent to make reservations at sushi restaurants? ishikawa
130	130	96_6	Tell me other fun things to do there.	Tell me what other fun things there are to do in Tokyo besides eating.	 Tell me other fun things to do at Michelin restaurants other than sushi. tokyo sukiyabashi jiro
131	131	96_7	What is the cost of living there compared to NYC?	What is the cost of living in Tokyo compared to New York City (NYC)?	 What is the cost of living in Japan compared to NYC? tokyo
132	132	96_8	What is the salary of foreign law firms there?	What is the salary of working in foreign law firms in Tokyo?	 What's the salary of foreign law firms in Japan? tokyo
133	133	97_1	Who are the rivals of the Steelers?	Who are the rivals of the Pittsburgh Steelers?	 Who are the rivals of the Steelers?
134	134	97_2	What are notable games between Ravens versus Steelers?	What are notable games between Baltimore Ravens versus Pittsburgh Steelers	 What are notable games between the Ravens and Steelers?
135	135	97_3	And notable moments in their rivalry?	What are notable moments in the Ravens and Steelers rivalry?	 And notable moments in the rivalry between the Steelers and the Ravens.
136	136	97_4	Tell me more about that Polamalu's interception.	Tell me more about Polamalu's Interception versus Ravens in the 2008 AFC Championship game.	 Tell me more about that Polamalu's interception.
137	137	97_5	How about his pick-6?	How about Polamalu's interception return touchdown?	 How about Polam alu's pick-6? polamalu
138	138	97_6	Tell me more about the immaculate reception.	Tell me more about the immaculate reception of Pittsburgh Steelers.	 How about Polam alu's pick-6?
139	139	97_7	What happened to the stadium?	What happened to Three Rivers stadium?	 What happened to the stadium of the Pittsburgh Steelers?
140	140	97_8	Tell me more about their defense.	Tell me more about Steelers' defense scheme.	 Tell me about the Pittsburgh Pittsburgh Steelers defense.
141	141	98_1	What is the environmental cost of food production?	What is the environmental cost of food production?	 What is the environmental cost of food production?
142	142	98_2	Oh that much water? How is that for meat?	Oh that much water? How much water is used in meat production?	 Oh that much water?
143	143	98_3	How much less is used for vegetables?	How much less water is used to produce vegetables compared to meat?	 How much less is used for vegetables than other foods?
144	144	98_4	What are the benefits of being vegetarian?	What are the benefits of being vegetarian to the environment?	 What are the benefits of being vegetarian?
145	145	98_5	Are there any health concerns?	Are there any health concerns of being vegetarian?	 Are there any health concerns associated with being vegetarian, or are there any concerns about being a vegetarian? diet
146	146	98_6	What are their sources of proteins?	What are the sources of proteins for vegetarians?	 What are vegetarian foods' sources of proteins?
147	147	98_7	Oh almonds? Can you show me recipes with it?	Can you show me vegetarian recipes with almonds?	 Oh almonds?
148	148	98_8	How do you make the flour?	How do you make almond flour?	 How do you make the flour? macaroon macaron macarons
149	149	99_1	What is high blood carbon dioxide?	What is high blood carbon dioxide?	 What is high blood carbon dioxide?
150	150	99_2	What should you do to treat it?	What should you do to treat hypercapnia?	 What should you do to treat high blood carbon dioxide? hypercapnia
151	151	99_3	How about high cholesterol?	What are treatments for high cholesterol?	 How about high cholesterol?
152	152	99_4	What should I eat to improve it?	What should I eat to improve high cholesterol?	 What should I eat to improve my cholesterol, and where do you get from the U. high
153	153	99_5	What are the differences between the two fats?	What are the differences between saturated fat and trans fat?	 What are the differences between the two fats between cholesterol and fat?
154	154	99_6	So, there are two types.  Is the other fat good for you?	What are the benefits of unsaturated fats?	 So, there are two types of cholesterol, is the other fat good for you? saturated
155	155	99_7	Oh I like fish.  What other foods are good sources?	Oh, I like fish. What foods besides fish are good sources of unsaturated fats?	 Oh I like fish. What other foods are good sources of cholesterol?
156	156	99_8	What types does olive oil contain?	What types of unsaturated fats does olive oil contain?	 What types of olive oil contain? fats
157	157	100_1	What causes my teeth to chip off?	What causes my teeth to chip off?	 What causes my teeth to chip off?
158	158	100_2	Oh, what can they do to fix it?	Oh, what can dentists do to fix a chipped tooth?	 Oh, what can they do to fix my teeth ch The? tooth broken chipped chip dentist
159	159	100_3	I have a larger chip, how do the options different?	What are the differences between dental crowns and veneers?	 I have a larger chip, how do the options different for fixing a chip different than the options for a smaller chip? teeth tooth chipped repairing dental
160	160	100_4	A crown sounds better. What about using an implant?	How does an implant compare to a crown?	 A crown sounds better than using an implant; What about using a crown?
161	161	100_5	Which one is more expensive?	Which one of dental implants or crowns is more expensive?	 Which one of these crowns is more expensive? crown dental implant
162	162	100_6	What is the coverage of the crown in insurance?	What is the coverage of the crown in insurance?	 What is the coverage of the crown in insurance?
163	163	100_7	I meant medicare	What is the coverage of the crown in medicare?	 I meant medicare rather than medicare
164	164	100_8	Show me covered dentists in Seattle	Show me medicare dentists in Seattle	 Show me covered dentists in Seattle.
165	165	101_1	What is Melania Trump's religion?	What is Melania Trump's religion?	 What is Melania Trump's religion?
166	166	101_2	What did she do before she was married?	What did Melania Trump do before she was married?	 What did Melania Trump do before she was married? melanija
167	167	101_3	Does she have children?	Does Melania Trump have children?	 Does Melania Trump have children?
168	168	101_4	How old is he?	How old is Barron Trump?	 How old is Donald Trump's son? melania trump
169	169	101_5	They met at the Kit Kat Club?  Where is that?	Donald and Melania Trump met at the Kit Kat Club?  Where is the Kit Kat Club?	 Did Donald Trump and his son met at the Kit Kat Club? melania
170	170	101_6	When did she become a model?	When did Melania Trump become a model?	 When did MelaniaTrump become a model? melania trump
171	171	101_7	Do we pay the First Lady?	Does the public pay the First Lady of the United States?	 Do we pay the First Lady? melania trump
172	172	101_8	What about Ivanka?	Does the public pay Ivanka Trump?	 What about Ivanka Trump? melania melanija
173	173	101_9	And Jared?	Does the public pay Jared Kushner?	 And Jared Trump? ivana donald
174	174	101_10	What does he do at the White House?	What does Jared Kushner do at the White House?	 What does Jared Trump do at the White House? melania
175	175	102_1	When did social security start in the US?	When did social security start in the United States (US)?	 When did social security start in the US?
176	176	102_2	Was it mandatory?	Was social security mandatory?	 Was social security mandatory in the U.
177	177	102_3	Who received the first check?	Who received the first social security check?	 Who received the first check for social security in the United States?
178	178	102_4	When did the government start borrowing from it?	When did the government start borrowing from social security?	 When did the government start borrowing from social security?
179	179	102_5	How much is owed?	How much money is owed to social security?	 How much is owed to social security from the government? program
180	180	102_6	When will it run out of money?	When will social security run out of money?	 When will social security run out of money? ncp ncpas
181	181	102_7	Wow! What will happen?	Wow! What will happen if social security runs out of money?	 Wow! What will happen when social security runs out of cash? trust fund
182	182	102_8	Can it be fixed?	Can social security be fixed?	 Can social security be fixed? checks check
183	183	102_9	How much of an increase?	How much of a tax increase will keep social security solvent?	 How much of an increase would social security get if it was fixed?
184	184	103_1	Why were the Dead such an influential live band?	Why were the Grateful Dead such an influential live band?	 Why were the Dead such an influential live band?
185	185	103_2	Why did they allow live recordings?	Why did the Grateful Dead allow live recordings?	 Why did the Dead allow live recordings?
186	186	103_3	Did they have a #1 hit?	Did the Grateful Dead have a number one hit?	 Did the Dead have a #1 hit?
187	187	103_4	Who was the leader?	Who was the leader of the Grateful Dead?	 Who was the leader of the Dead and did they have a number of #1 hits? walking
188	188	103_5	How did he lose his finger?	How did Jerry Garcia lose his finger?	 How did Dead leader Dead lose his finger? jerry garcia john
189	189	103_6	What was his relationship to the Airplane?	What was Jerry Garcia's relationship to Jefferson Airplane?	 What was the Dead's relationship to the Airplane?
190	190	103_7	Is Cassidy about Jack Casady?	Is Cassidy about Jack Casady?	 Is Cassidy about Jack Casady?
191	191	103_8	Who wrote it?	Who wrote Cassidy?	 Who wrote Cassidy? jack
192	192	103_9	What else did they write?	What else did John Barlow and Bob Weir write?	 What other songs the Dead wrote besides Cassidy?
193	193	103_10	Why did the band break up?	Why did the Grateful Dead break up?	 Why do the Dead band break up?
194	194	104_1	Who are some of the well-known Information Retrieval researchers?	Who are some of the well-known Information Retrieval researchers?	 Who are some of the well-known Information Retrieval researchers?
195	195	104_2	What did he work on?	What Information Retrieval research did Bruce Croft work on?	 What did Information retrieval researcher John Dr TheRegistration road '? croft bruce
196	196	104_3	Who are some important British ones?	Who are some important British Information Retrieval researchers?	 Who are some important British information retrieval researchers?
197	197	104_4	What did his studies contribute to evaluation?	What did Cyril Cleverdon's studies contribute to the evaluation of Information Retrieval systems?	 What did John Dr The registration road John Dr Dr TheRegistrationroad contribute to evaluation? information retrieval cleverdon cyril
198	198	104_5	What are some criticisms of the experiments?	What are some criticisms of the Cranfield project experiments?	 What are some criticisms of the experiments? cranfield information research cleverdon retrieval
199	199	104_6	How did they influence modern initiatives?	How did the Cranfield Experiments influence modern information retrieval evaluation initiatives?	 How did early information retrieval researchers influence modern initiatives? brick experiments mortar
200	200	104_7	What is TREC?	What is TREC for information retrieval research?	 What is Information retrieval research known as TREC?
201	201	104_8	What are some recent tasks?	What are some recent TREC tasks?	 What are recent tasks in Information retrieval research? trec
202	202	104_9	e-Discovery?  What's that?	e-Discovery?  What's that?	 e-Discovery? trec
203	203	104_10	What are the important components of a test collection?	What are the important components of an information retrieval test collection?	 What are the important components of a test collection? pega
204	204	104_11	What about benchmarks for music?	What about evaluation benchmarks for music information retrieval?	 What about benchmarks for music?
205	205	104_12	What are important measures for web search engines?	What are important evaluation measures for web search engines?	 What are important measures for web search engines?
206	206	104_13	What about online ones?	What are important online evaluation metrics for web search?	 What about online search engine benchmarks? information engines metrics measures retrieval
207	207	105_1	When did the Black Lives Matter campaign begin?	When did the Black Lives Matter campaign begin?	 When did the Black Lives Matter campaign begin?
208	208	105_2	Tell me more about what happened.	Tell me more about the shooting of Trayvon Martin.	 Tell me more about what happened in the Black lives Matter campaign.
209	209	105_3	Why was he acquitted?	Why was George Zimmerman acquitted?	 Why was the Black Lives Matter campaign begin? george trayvon martin zimmerman
210	210	105_4	And how about what happened to Brown?	And how what happened to Michael Brown?	 And how aboutWhat happened to Brown the Brown the first African American to be a 'Black Lives Matter candidate'
211	211	105_5	Who named the movement?	"Who named the movement ""Black Lives Matter""?"	 Who named the movement? lives black matter brown campaign
212	212	105_6	What was the US reaction to it?	What was the US reaction to the Black Lives Matter movement?	 What was the US reaction to the Black Living Matter movement? lives
213	213	105_7	Tell me more about the movement of the police supporters.	Tell me more about the Blue Lives Matter movement.	 Tell me more about the movement of the police supporters. matter lives black
214	214	105_8	Why were they killed?	Why were Rafael Ramos and Wenjian Liu killed?	 Why were police supporters killed? rafael wenjian officers liu ramos nypd
215	215	105_9	What else motivates the Black Lives Matter movement?	What else motivates the Black Lives Matter movement?	 What else motivates the Black lives matter movement?
